id;name;geburtsdatum;film_id
10;Leonardo DiCaprio;1974-11-11;10
20;Matthew McConaughey;1969-11-04;20
30;Robert Pattinson;1986-05-13;30
40;Joseph Gordon-Levitt;1981-02-17;10
50;Anne Hathaway;1982-11-12;20
